Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle
Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees
2105.9359176253,72,1688.22797412924,72,NaN,72,NaN,72,3418.71008389405,72,1764.2317084085,48,4472.34966556739,48
2401.42533230306,75,1684.08793950021,75,NaN,75,NaN,75,3366.81541749056,75,1807.46145598361,50,4376.07158478179,50
2761.55214863257,78,1680.68143979189,78,NaN,78,NaN,78,3325.33955322053,78,1853.36516969115,52,4288.81632050636,52
3174.2843822943,81,1678.0203911598,81,NaN,81,NaN,81,3293.67319337326,81,1901.97194748668,54,4209.537545285,54
3585.99683762161,84,1676.11362013384,84,NaN,84,NaN,84,3271.36417913129,84,1953.27528469112,56,4137.39489116542,56
3898.77246402381,87,1674.96719570684,87,NaN,87,NaN,87,3258.10056355931,87,2007.22096015097,58,4071.70415517332,58
4016.02655444392,90,1674.58466528644,90,NaN,90,NaN,90,3253.69939355356,90,2063.69247841347,60,4011.901709227,60
3898.77246402381,93,1674.96719570684,93,NaN,93,NaN,93,3258.10056355931,93,2122.49430397783,62,3957.51845819726,62
3585.99683762161,96,1676.11362013385,96,NaN,96,NaN,96,3271.36417913129,96,2183.33329896032,64,3908.16099357703,64
3174.28438229432,99,1678.0203911598,99,NaN,99,NaN,99,3293.67319337327,99,2245.79891213183,66,3863.49718223092,66
2761.55214863257,102,1680.68143979188,102,NaN,102,NaN,102,3325.33955322054,102,2309.34411433819,68,3823.24524986318,68
2401.42533230305,105,1684.08793950021,105,NaN,105,NaN,105,3366.81541749058,105,2373.26916305449,70,3787.16540912199,70
2105.93591762528,108,1688.22797412924,108,NaN,108,NaN,108,3418.71008389406,108,2436.71112979274,72,3755.05336832357,72
1868.11368237369,111,1693.08610842549,111,NaN,111,NaN,111,3481.81330465351,111,2498.64352495671,74,3726.73525066461,74
1676.6379855676,114,1698.64293438094,114,NaN,114,NaN,114,3557.12785560935,114,2557.88931474076,76,3702.06360848961,76
1521.20500687961,117,1704.87411407224,117,NaN,117,NaN,117,3645.91310713858,117,2613.15112888399,78,3680.91426456449,78
1393.67822323899,120,1711.75020996964,120,NaN,120,NaN,120,3749.74450336096,120,2663.06044713961,80,3663.18380997623,80
1287.91525600832,123,1719.23547273013,123,NaN,123,NaN,123,3870.5945905063,123,2706.24479654666,82,3648.78763554304,82
1199.32908258444,126,1727.28711774939,126,NaN,126,NaN,126,4010.94426153904,126,2741.40849506437,84,3637.6583978352,84
1124.48290063625,129,1735.85416846298,129,NaN,129,NaN,129,4173.93951782102,129,2767.42154258718,86,3629.744846987,86
1060.77848985829,132,1744.87674730143,132,NaN,132,NaN,132,4363.61473445298,132,2783.40360711325,88,3625.01096330774,88
1006.22970932089,135,1754.28495687116,135,NaN,135,NaN,135,4585.21851903856,135,2788.79498280028,90,3623.43536518235,90
959.30080106031,138,1763.99800964219,138,NaN,138,NaN,138,4845.70088376901,138,2783.40360711326,92,3625.01096330773,92
918.791254270214,141,1773.92347674663,141,NaN,141,NaN,141,5154.46058169186,141,2767.42154258718,94,3629.744846987,94
883.753231836415,144,1783.95678642633,144,NaN,144,NaN,144,5524.51817972889,144,2741.40849506438,96,3637.65839783519,96
853.431838289011,147,1793.98109640588,147,NaN,147,NaN,147,5974.3896934599,147,2706.24479654666,98,3648.78763554304,98
827.221486295621,150,1803.86768455962,150,NaN,150,NaN,150,6531.06317437463,150,2663.0604471396,100,3663.18380997624,100
804.63367843285,153,1813.47701415281,153,NaN,153,NaN,153,7234.41860099242,153,2613.15112888399,102,3680.91426456449,102
785.272982591899,156,1822.66062710716,156,NaN,156,NaN,156,8142.22296839738,156,2557.88931474076,104,3702.06360848961,104
768.818954903508,159,1831.26399306487,159,NaN,159,NaN,159,9330.42357493079,159,2498.64352495672,106,3726.73525066461,106
755.012464339823,162,1839.13039874802,162,NaN,162,NaN,162,10884.0769964879,162,2436.71112979274,108,3755.05336832359,108
743.645302308904,165,1846.10571819813,165,NaN,165,NaN,165,NaN,165,2373.26916305449,110,3787.16540912198,110
734.552286535951,168,1852.04421424376,168,NaN,168,NaN,168,NaN,168,2309.34411433819,112,3823.24524986318,112
727.60529487323,171,1856.81470428046,171,7790.94874985851,171,9739.31498525528,171,NaN,171,2245.79891213184,114,3863.49718223092,114
722.708825381538,174,1860.30687204787,174,7373.51530088227,174,10218.5681038016,174,NaN,174,2183.33329896032,116,3908.16099357703,116
719.796796358821,177,1862.43707677049,177,7183.10290427808,177,10444.8426245387,177,NaN,177,2122.49430397782,118,3957.51845819726,118
718.830388044823,180,1863.15306963002,180,7125.63898881768,180,10514.0539644413,180,NaN,180,2063.69247841347,120,4011.90170922699,120
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007.22096015097,122,4071.70415517332,122
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1953.27528469112,124,4137.39489116541,124
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1901.97194748668,126,4209.537545285,126
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1853.36516969115,128,4288.81632050636,128
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1807.46145598361,130,4376.07158478179,130
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1764.2317084085,132,4472.34966556739,132
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.6210347796,134,4578.974454425,134
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1685.55676045806,136,4697.65212735103,136
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1649.95468819443,138,4830.62880871995,138
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1616.72390302777,140,4980.93501215158,140
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1585.77043006511,142,5152.77603304704,142
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1556.99997331712,144,5352.17565467663,144
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1530.31992907944,146,5588.06520373631,146
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1505.64083396323,148,5874.13277785747,148
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1482.87737763526,150,6231.72862180761,150
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1461.94908432997,152,6692.70594521637,152
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1442.78075556524,154,7292.93742179917,154
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1425.30270197171,156,8032.69334291145,156
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1409.4508703115,158,8833.61427528446,158
